index,from_station_code,to_station_code,count,stations
0,東京,新橋,26,[]
1,品川,新橋,568,[]
3,川崎,新橋,1290,[]
6,横浜,新橋,410,[]
8,戸塚,新橋,880,[]
9,大船,新橋,771,[]
11,藤沢,新橋,529,[]
12,藤沢,新橋,42,['品川']
13,辻堂,新橋,520,[]
15,辻堂,新橋,10,['品川']
16,茅ヶ崎,新橋,352,[]
18,平塚,新橋,396,[]
21,大磯,新橋,346,[]
23,二宮,新橋,186,[]
24,国府津,新橋,22,[]
25,鴨宮,新橋,60,[]
26,鴨宮,新橋,11,"['小田原', '品川']"
27,小田原,新橋,237,[]
28,早川,新橋,23,[]
29,三鷹,新橋,190,['東京']
30,東大宮,新橋,26,"['大宮', '東京']"
31,鶴見,新橋,167,['川崎']
33,新子安,新橋,36,['川崎']
34,新子安,新橋,59,"['鶴見', '川崎']"
35,東神奈川,新橋,13,['川崎']
36,桜木町,新橋,21,['横浜']
37,関内,新橋,29,['横浜']
38,石川町,新橋,48,['横浜']
39,山手,新橋,84,['横浜']
40,根岸,新橋,186,['横浜']
42,新杉田,新橋,68,['横浜']
43,港南台,新橋,10,['横浜']
44,本郷台,新橋,48,['大船']
45,錦糸町,新橋,437,['東京']
46,津田沼,新橋,1874,['東京']
47,尻手,新橋,126,['川崎']
49,矢向,新橋,616,['川崎']
50,鹿島田,新橋,26,['川崎']
51,平間,新橋,271,['川崎']
52,川崎新町,新橋,118,"['尻手', '川崎']"
53,鴨居,新橋,456,"['東神奈川', '横浜']"
54,十日市場,新橋,56,"['東神奈川', '横浜']"
55,寒川,新橋,54,['茅ヶ崎']
56,葛西臨海公園,新橋,567,['東京']
57,稲毛海岸,新橋,154,['東京']
58,上大井,新橋,30,['国府津']
59,小山,新橋,106,['東京']
60,新横浜,新橋,98,['東京']
61,小田原,新橋,76,['品川']
62,センター南,新橋,3,['横浜']
63,センター南,新橋,51,"['新横浜', '品川']"
64,仲町台,新橋,55,['横浜']
65,片倉町,新橋,37,['横浜']
66,三ッ沢下町,新橋,30,['横浜']
67,吉野町,新橋,11,['横浜']
68,蒔田,新橋,65,['横浜']
70,港南中央,新橋,9,['横浜']
71,上永谷,新橋,47,['横浜']
72,上永谷,新橋,310,['戸塚']
73,踊場,新橋,44,['戸塚']
74,中田,新橋,112,['戸塚']
76,立場,新橋,137,['戸塚']
77,湘南台,新橋,80,['戸塚']
79,日ノ出町,新橋,4,['横浜']
80,南太田,新橋,35,['横浜']
81,井土ヶ谷,新橋,45,['横浜']
82,弘明寺,新橋,58,['横浜']
83,上大岡,新橋,206,['横浜']
86,屏風浦,新橋,32,"['上大岡', '横浜']"
87,能見台,新橋,43,['横浜']
89,能見台,新橋,11,"['上大岡', '横浜']"
90,金沢文庫,新橋,109,['品川']
91,金沢文庫,新橋,67,['横浜']
92,ＹＲＰ野比,新橋,32,"['京急久里浜', '堀ノ内', '品川']"
93,港町,新橋,36,['京急川崎']
94,川崎大師,新橋,70,['京急川崎']
95,鶴間,新橋,19,"['大和', '横浜']"
96,高座渋谷,新橋,29,"['大和', '横浜']"
97,湘南台,新橋,32,['藤沢']
98,六会日大前,新橋,60,['藤沢']
100,善行,新橋,104,['藤沢']
102,藤沢本町,新橋,191,['藤沢']
105,本鵠沼,新橋,43,['藤沢']
106,鵠沼海岸,新橋,9,['藤沢']
107,片瀬江ノ島,新橋,33,['藤沢']
108,府中,新橋,373,"['新宿', '東京']"
109,綱島,新橋,4,['横浜']
110,妙蓮寺,新橋,29,['横浜']
